,NAME,LAT,LONG,CR1003I,CR1003V,CR1005V,CR1007V,CR1008V,CR1010V,CR1015V,CR2001V,CR2009V,CR2010I,CR2011I,DE1001V,DE1002V,DE1003I,DE1003V,DE1025I,DE1025V,DE1026V,DE1027V,DE1028I,DE1028V,DE1029V,DE1030V,DE1040I,DE1040V,DE1041V,DE1042V,DE1046I,DE1046V,DE1047V,DE1048V,DE1049I,DE1049V,DE1050V,DE1051V,DE1055I,DE1055V,DE1056V,DE1057I,DE1057V,DE1058I,DE1058V,DE1059I,DE1059V,DE1060I,DE1060V,DE1061I,DE1061V,DE1062V,DE1063V,DE1064I,DE1064V,DE1065V,DE1066V,DE1073I,DE1073V,DE1074V,DE1075V,DE1076I,DE1076V,DE1077V,DE1078V,DE1079V,DE1084I,DE1085I,DE2001I,DE2001V,DE2002I,DE2002V,DE2003I,DE2003V,DE2007I,DE2008I,DE2008V,DE2009I,DE2009V,DE2010V,DE2011V,DE2012V,DE3001V,DE3002I,DE3002V,DE3004I,DE3005I,DE3005V,DE3008I,DE3008V,DE3011I,DE3011V,DE3016I,DE3017V,EC1001I,EC1001V,EC1002I,EC1002V,EC1003I,EC1003V,EC1010V,EC1011I,EC1011V,EC1012I,EC1012V,EC1020I,EC1145V,EC1146V,EC1147V,EC1174V,EC1175V,EC1176V,EC1177V,EC1178V,EC1179V,EC1180V,EC1181V,EC1182V,EC2008V,EC2009V,EC2020V,EC2021V,EC2022V,EC2032V,EC2033V,EC2034V,EC2035V,EC2036V,EC2037V,EC2038V,EC3039V,EC3040V,EC3064V,EC3065V,EN1002V,EN1003V,EN1004V,EN1005V,EN2002V,EN2003V,EN2005V,EN2025V,EN2026V,EN2027V,EN3003V,EN3010V,EN3011V,EN3012V,EN3013V,EN4008V,EN5200V,EN5201V,EN5202V,EN5203V,EN5204V,EN5205V,EN5206V,EN5207V,SA1001V,SA1004V,SA1005V,SA1007I,SA1007V,SA1008I,SA1008V,SA1012V,SA1025V,SA1029V,SA1050V,SA1051V,SA2004I,SA2004V,SA2007I,SA2007V,SA2013V,SA2016V,SA2017V,SA2018V,SA2019V,SA2020V,SA2021V,SA2029I,SA3005V,TE1001I,TE1001V,TE1026I,TE1026V,TE1027V,TE1028V,TE1039V,TE1040V,TE1041V,TE2025V,TE2028I,TE2028V,TE2031I,TE2031V,TT1057I,TT1057V,TT1060I,TT1060V,TT1064V,TT1065V,TT1079V,TT1080V,TT1081V
10,Düsseldorf,6.801324,51.226297,16.0,9323.0,1531395.0,1091572.0,5.0,42.0,12.0,3843403.0,23827.0,40.0,7.0,588735.0,280702.0,109.7,308033.0,11.3,66492.0,31337.0,35155.0,11.0,64578.0,29258.0,35320.0,4.6,27163.0,13971.0,13192.0,4.1,24412.0,12311.0,12101.0,5.6,32799.0,15279.0,17520.0,8.7,51163.0,18341.0,179.0,32822.0,57.3,90924.0,26.4,43440.0,30.9,47484.0,0.4,94988.0,48368.0,46620.0,15.1,88975.0,44250.0,44725.0,15.4,42.3,23789.0,12157.0,16.1,11632.0,23452.0,11990.0,11462.0,4.0,4.0,82.0,481646.0,7.0,43000.0,11.0,64100.0,18.0,72.0,426600.0,28.0,162200.0,49100.0,84200.0,108453.0,321300.0,50.0,161600.0,2.0,4.0,12400.0,14.0,45900.0,18.0,56800.0,22.0,583900.0,58.0,296800.0,65.0,157300.0,51.0,139500.0,21300.0,9.0,13400.0,6.0,7900.0,7.0,41300.0,21900.0,19400.0,290200.0,153800.0,136500.0,269900.0,140900.0,129000.0,38200.0,20000.0,18200.0,1100.0,47700.0,482000.0,39702.0,12400.0,112900.0,26300.0,36400.0,7700.0,107900.0,105000.0,24700.0,22500.0,29700.0,54.0,18.0,4.9,18.1,3.1,709.7,8.0,0.0,21.0,2203.0,28.4,25.2,45501700.0,1.79,100.0,100.0,99.8,255.13,8.68,17.28,13.32,11.4,0.96,10.56,23.24,14.57,333178.0,41859.0,291319.0,12.0,37700.0,88.0,284100.0,20080.0,10957.0,733.0,580000.0,175000.0,5.0,30.0,10.0,5736.0,214.0,998.0,619.0,379.0,5899.0,2830.0,3069.0,10.0,8.0,445.0,12100.0,55.0,32490.0,14884.0,17606.0,11.0,9.75,7.0,61600.0,49.0,165700.0,35.0,119500.0,354.26,208564.0,0.19,11.0,227864.0,67205.0,218.0,61.1,11.9
11,Bremen,8.852958,53.09026,19.0,10528.0,1809484.5,797095.0,3.0,10.0,11.0,1554722.0,10238.0,19.0,3.0,547340.0,265645.0,106.0,281695.0,12.1,66287.0,32029.0,34258.0,11.7,63946.0,29888.0,34058.0,4.1,22361.0,11476.0,10885.0,4.7,25920.0,13173.0,12747.0,6.9,37498.0,18379.0,19119.0,9.6,52596.0,18845.0,179.1,33751.0,62.3,74307.0,27.8,37413.0,34.6,36894.0,-0.1,77670.0,40144.0,37526.0,14.9,81455.0,40852.0,40603.0,13.6,43.5,21468.0,11121.0,14.2,10347.0,23832.0,12325.0,11507.0,3.9,4.4,87.0,477054.0,3.0,19100.0,9.0,51200.0,13.0,81.0,443600.0,19.0,103700.0,29300.0,84900.0,71801.0,130387.09677419355,46.0,143600.0,2.0,4.290322580645161,15300.0,14.021505376344086,42900.0,17.892473118279568,52000.0,29.0,545000.0,56.0,267100.0,61.0,141300.0,51.0,125800.0,19400.0,8.0,11700.0,6.0,7700.0,7.0,45100.0,24000.0,21000.0,262000.0,138600.0,123500.0,243400.0,127200.0,116200.0,42400.0,22600.0,19800.0,200.0,54900.0,320200.0,24465.0,12400.0,83900.0,11700.0,9400.0,4900.0,50400.0,72500.0,19900.0,19800.0,25500.0,58.0,22.0,4.7,17.3,2.0,622.2,14.67,0.0,11.3,2885.0,23.5,20.6,29868000.0,1.98,100.0,100.0,99.7,241.35,6.29,17.26,13.33,11.93,1.13,11.28,36.36,2.41,286495.0,101081.0,185414.0,26.365591397849464,28468.817204301075,73.12903225806451,101426.8817204301,8087.0,7492.692307692308,334.8,255000.0,101500.0,7.0,30.0,8.0,4450.0,250.0,1006.0,628.0,378.0,5963.0,2761.0,3202.0,11.0,22.0,443.0,9900.0,53.0,29282.0,15343.0,13939.0,7.0,9.75,7.0,58800.0,52.0,156700.0,30.0,91200.0,350.79,192000.0,0.24,13.0,104647.0,33655.0,821.0,52.5,11.5
12,Hannover,9.787455,52.379952,15.0,7712.0,1500273.0,444427.0,9.0,23.0,13.0,2103073.0,13819.0,26.0,4.0,522686.0,252671.0,106.9,270015.0,11.0,57588.0,27707.0,29881.0,10.3,53678.0,24898.0,28780.0,4.5,23462.0,12031.0,11431.0,4.2,22128.0,11172.0,10956.0,6.6,34689.0,16360.0,18329.0,9.4,48944.0,17403.0,181.2,31541.0,57.1,82791.0,26.3,40682.0,30.8,42109.0,0.3,78105.0,40457.0,37648.0,15.2,79523.0,40490.0,39033.0,15.8,42.0,20864.0,10667.0,14.9,10197.0,20914.0,10804.0,10110.0,4.0,4.0,86.0,447930.0,4.0,21900.0,10.0,52900.0,15.0,76.0,397500.0,24.0,125200.0,36900.0,88300.0,76041.0,302000.0,55.0,166300.0,2.0,5.0,14800.0,13.0,37900.0,16.0,48900.0,30.0,520600.0,58.0,266100.0,64.0,141000.0,53.0,125100.0,24400.0,10.0,14200.0,8.0,10200.0,9.0,35600.0,18700.0,17000.0,259700.0,137400.0,122200.0,236900.0,124200.0,112700.0,32500.0,16800.0,15600.0,200.0,45300.0,374100.0,24338.0,9800.0,67700.0,17100.0,23900.0,5000.0,68600.0,115100.0,21400.0,19900.0,25300.0,55.0,23.0,4.6,17.9,1.9,565.0,12.0,0.0,14.0,3176.0,19.2,19.8,30167000.0,1.49,100.0,100.0,100.0,129.90352272727273,9.68,14.05,17.25,9.67,2.38,22.34,16.36,8.27,289399.0,43933.0,245466.0,14.0,41300.0,87.0,261400.0,19699.0,8285.0,878.0,320000.0,87500.0,4.0,20.0,10.0,5077.0,239.0,919.0,606.0,313.0,5375.0,2510.0,2865.0,10.0,28.0,409.0,9600.0,72.0,37514.0,20368.0,17146.0,8.0,9.75,7.0,46200.0,50.0,148400.0,36.0,106700.0,316.06,165200.0,0.19,10.0,155385.0,49797.0,530.0,61.2,11.2
13,Nürnberg,11.07977,49.446007,15.0,7492.0,2065684.0,1578599.0,6.0,34.0,8.0,2518490.0,15962.0,32.0,5.0,505664.0,244731.0,106.6,260933.0,11.9,60004.0,28559.0,31445.0,11.2,56863.0,26312.0,30551.0,4.2,21393.0,10934.0,10459.0,4.4,22365.0,11537.0,10828.0,6.6,33182.0,15848.0,17334.0,9.4,47730.0,17315.0,175.7,30415.0,59.6,74250.0,26.6,36757.0,33.0,37493.0,0.4,73563.0,37965.0,35598.0,15.0,75799.0,38699.0,37100.0,14.7,43.0,19987.0,10275.0,14.5,9712.0,20528.0,10530.0,9998.0,4.0,4.1,84.0,422279.0,6.0,29300.0,11.0,54100.0,17.0,72.0,362600.0,28.0,143100.0,49200.0,95300.0,86741.0,271100.0,48.0,130500.0,2.0,4.0,11900.0,13.0,36500.0,17.0,45600.0,26.0,500000.0,59.0,261800.0,66.0,140000.0,53.0,121900.0,19400.0,7.0,10300.0,8.0,9200.0,7.0,38100.0,20200.0,18000.0,253300.0,135200.0,118000.0,235400.0,125800.0,109600.0,35100.0,18700.0,16500.0,3500.0,54900.0,359700.0,26649.0,10500.0,80400.0,21600.0,18100.0,4200.0,72700.0,73200.0,20600.0,21500.0,26900.0,54.0,20.0,5.4,18.9,1.0,625.0,14.902833333333335,0.016666666666666666,19.58360655737705,3395.7833333333333,24.192333333333337,22.13606557377049,29121000.0,1.96,100.0,100.0,99.9,262.57,6.52,19.13,15.81,11.56,1.39,9.84,19.31,16.44,266713.0,51817.0,214896.0,20.0,53000.0,79.0,214800.0,18814.0,7492.692307692308,1380.0,387500.0,100660.0,2.0,11.0,9.0,4580.0,248.0,926.0,605.0,321.0,5490.0,2582.0,2908.0,11.0,20.0,425.0,9100.0,23.0,11846.0,6748.0,5098.0,13.0,9.75,7.0,60100.0,53.0,151000.0,27.0,76500.0,371.56,187884.0,0.2,10.0,143197.0,52818.0,293.0,55.9,11.8
14,Bochum,7.213937,51.474951,16.0,6118.0,1209251.0,529379.0,4.0,18.0,8.0,587535.0,3819.0,10.0,2.0,374737.0,182830.0,105.0,191907.0,12.7,47544.0,23550.0,23994.0,11.1,41655.0,19231.0,22424.0,3.6,13575.0,7035.0,6540.0,4.7,17544.0,8961.0,8583.0,6.6,24623.0,12032.0,12591.0,10.1,37947.0,13677.0,177.5,24270.0,60.2,47216.0,26.1,24029.0,34.0,23187.0,-0.4,53047.0,27217.0,25830.0,16.4,61539.0,31651.0,29888.0,12.6,44.7,14181.0,7291.0,14.2,6890.0,15866.0,8156.0,7710.0,3.8,4.2,89.0,332241.0,3.0,11300.0,8.0,31200.0,12.0,81.0,301900.0,19.0,72800.0,17900.0,54900.0,43324.0,197500.0,45.0,89300.0,2.0,3.0,6600.0,15.0,29400.0,17.0,34200.0,19.0,370500.0,53.0,175700.0,60.0,96700.0,46.0,79000.0,14200.0,9.0,9100.0,6.0,5100.0,8.0,27500.0,15600.0,11900.0,171900.0,94600.0,77300.0,158500.0,86000.0,72500.0,25600.0,14300.0,11300.0,100.0,25100.0,171300.0,14084.0,8400.0,38900.0,4500.0,3400.0,2400.0,24500.0,54800.0,9200.0,20300.0,26300.0,58.0,20.0,4.9,17.7,3.0,774.0,14.902833333333335,0.016666666666666666,19.58360655737705,3395.7833333333333,24.192333333333337,22.13606557377049,25618700.0,1.61,100.0,100.0,99.8,163.32,4.49,29.14,15.86,9.48,1.48,14.07,18.17,7.32,196920.0,41557.0,155363.0,22.0,44100.0,77.0,152000.0,14627.0,8100.0,30.0,380000.0,94500.0,3.0,9.0,7.0,2668.0,164.0,741.0,480.0,261.0,4396.0,2126.0,2270.0,12.0,12.0,449.0,6100.0,125.0,46971.0,26007.0,20964.0,10.0,9.75,7.0,34700.0,56.0,117500.0,27.0,55700.0,414.24,155231.0,0.11,4.0,59673.0,52135.0,283.0,61.1,9.95
15,Bielefeld,8.577806,52.018202,19.0,6241.0,989586.0,226484.0,3.0,22.0,12.0,515418.0,3616.0,11.0,2.0,323270.0,154758.0,108.9,168512.0,10.9,35187.0,16763.0,18424.0,10.7,34554.0,15933.0,18621.0,4.6,14832.0,7693.0,7139.0,5.2,16938.0,8552.0,8386.0,6.8,22068.0,10419.0,11649.0,9.9,31938.0,11705.0,172.9,20233.0,66.8,43884.0,32.5,21662.0,34.3,22222.0,0.1,44884.0,22552.0,22332.0,14.8,47798.0,23501.0,24297.0,13.6,42.2,14971.0,7755.0,13.9,7216.0,16216.0,8223.0,7993.0,4.6,5.0,88.0,284685.0,3.849462365591398,11690.322580645161,9.0,29100.0,12.0,74.0,239400.0,26.0,83900.0,13400.0,59900.0,38585.0,165700.0,45.0,75000.0,2.0,4.0,6400.0,13.0,21200.0,19.0,31500.0,20.0,321400.0,56.0,156300.0,64.0,83900.0,50.0,72400.0,11600.0,8.0,7000.0,6.0,4600.0,7.0,23300.0,12600.0,10700.0,152800.0,82000.0,70800.0,141800.0,75300.0,66500.0,21800.0,11600.0,10100.0,1000.0,28400.0,177900.0,14274.0,6200.0,42900.0,6700.0,4400.0,1600.0,23600.0,53000.0,10100.0,21700.0,27700.0,57.0,20.0,5.0,17.7,2.0,605.6,10.0,0.0,22.0,2539.0,25.2,23.7,15388000.0,1.85,100.0,100.0,99.7,148.98,4.705783132530121,16.130843373493974,10.985180722891567,7.569036144578313,1.3790361445783135,8.032530120481926,30.269277108433734,20.92734939759036,166354.0,53040.0,113314.0,33.0,54100.0,68.0,112500.0,12472.0,2140.0,332.0,295000.0,91000.0,4.0,13.0,9.0,3022.0,107.0,510.0,343.0,167.0,3320.0,1554.0,1766.0,10.0,1.0,438.0,6500.0,90.0,28945.0,13876.0,15069.0,9.0,9.75,7.0,32900.0,55.0,94800.0,30.0,51500.0,416.01,134483.0,0.34,11.0,56424.0,30119.0,386.0,60.5,10.7
16,Halle an der Saale,11.976793,51.488623,20.0,4608.0,1809484.5,470559.0,1.0,6.0,6.0,320943.0,2516.0,11.0,1.0,232963.0,110580.0,110.7,122383.0,13.0,30355.0,14050.0,16305.0,13.6,31686.0,14249.0,17437.0,4.4,10148.0,5195.0,4953.0,3.3,7616.0,3591.0,4025.0,8.4,19494.0,8895.0,10599.0,9.8,22893.0,7780.0,194.3,15113.0,61.5,33369.0,23.6,17426.0,37.8,15943.0,0.3,28710.0,15106.0,13604.0,13.9,32362.0,15941.0,16421.0,14.3,44.7,8773.0,4489.0,12.3,4284.0,7557.0,3858.0,3699.0,3.8,3.2,96.0,223806.0,1.0,1600.0,3.0,7500.0,4.0,95.0,221400.0,5.0,11600.0,3600.0,15000.0,9439.0,127100.0,46.0,58100.0,2.0,6.0,7100.0,14.0,17400.0,17.0,21600.0,33.0,229600.0,56.0,115900.0,62.0,60300.0,51.0,55600.0,12400.0,12.0,7300.0,9.0,5200.0,11.0,18900.0,9200.0,9700.0,113500.0,59000.0,54500.0,101400.0,51900.0,49500.0,16800.0,8200.0,8700.0,100.0,6800.0,119800.0,8266.0,6100.0,23000.0,4100.0,3200.0,2300.0,21700.0,41400.0,11100.0,18000.0,22100.0,59.0,24.0,5.3,18.7,0.7,464.7,17.0,0.0,31.0,3881.0,19.8,24.8,10079300.0,1.39,100.0,100.0,99.5,112.58,4.54,15.36,12.81,7.25,1.61,11.67,32.4,14.37,143710.0,17537.0,126173.0,15.0,18700.0,84.0,106700.0,4962.0,17921.0,111.0,220000.0,70000.0,4.0,9.0,9.0,2106.0,114.0,497.0,302.0,195.0,2830.0,1289.0,1541.0,12.0,13.0,641.0,6500.0,90.0,21010.0,8920.0,12090.0,9.0,9.75,7.0,8800.0,58.0,72700.0,34.0,42100.0,340.41,79304.0,0.13,3.0,41329.0,25990.0,95.0,48.3,11.0
17,Magdeburg,11.626831,52.125911,23.0,5325.0,1809484.5,193866.0,3.0,5.0,7.0,532581.0,5252.0,23.0,2.0,231525.0,112537.0,105.7,118988.0,13.0,30047.0,14113.0,15934.0,13.8,32040.0,14473.0,17567.0,4.1,9387.0,4815.0,4572.0,3.1,7117.0,3556.0,3561.0,8.6,19843.0,10092.0,9751.0,9.8,22794.0,8118.0,180.8,14676.0,59.6,33113.0,21.8,17655.0,37.8,15458.0,0.5,28023.0,14845.0,13178.0,14.7,34014.0,17034.0,16980.0,14.3,45.4,7987.0,4062.0,12.1,3925.0,7160.0,3774.0,3386.0,3.4,3.1,96.0,223411.0,0.0,1000.0,3.0,6500.0,4.0,92.0,213500.0,8.0,18000.0,2000.0,16000.0,8114.0,130200.0,48.0,63100.0,2.0,4.0,5300.0,15.0,18900.0,15.0,19800.0,27.0,229100.0,59.0,121200.0,64.0,63600.0,54.0,57500.0,12800.0,12.0,7400.0,9.0,5400.0,11.0,19400.0,9600.0,9800.0,118500.0,62100.0,56400.0,106100.0,54900.0,51200.0,17200.0,8500.0,8700.0,100.0,11100.0,132200.0,9618.0,8100.0,25900.0,3300.0,3600.0,2200.0,29100.0,41300.0,7500.0,18200.0,21300.0,55.0,22.0,5.3,18.9,1.0,468.7,23.0,0.0,31.0,3930.0,20.4,24.7,10232000.0,1.81,100.0,100.0,99.0,117.46,4.705783132530121,16.130843373493974,10.985180722891567,7.569036144578313,1.3790361445783135,8.032530120481926,30.269277108433734,20.92734939759036,141906.0,22413.0,119493.0,16.0,20200.0,83.0,108500.0,9128.0,21363.0,164.0,185000.0,50750.0,4.0,8.0,9.0,2043.0,103.0,449.0,311.0,138.0,2629.0,1307.0,1322.0,11.0,6.0,639.0,6000.0,81.0,18649.0,10896.0,7753.0,9.0,9.75,7.0,9200.0,65.0,81200.0,31.0,39100.0,385.71,89301.0,0.35,8.0,46736.0,23675.0,495.0,40.5,10.8
18,Wiesbaden,8.231418,50.067275,10.0,2689.0,1809484.5,91396.0,1.0,14.0,8.0,1024634.0,7282.0,26.0,4.0,275976.0,132695.0,108.0,143281.0,11.5,31773.0,15157.0,16616.0,10.7,29480.0,13647.0,15833.0,4.9,13540.0,6890.0,6650.0,4.6,12737.0,6391.0,6346.0,5.8,15971.0,7602.0,8369.0,8.9,24511.0,9304.0,163.4,15207.0,61.8,37600.0,30.2,17879.0,31.7,19721.0,-0.5,42742.0,21728.0,21014.0,15.4,42460.0,21201.0,21259.0,13.6,42.5,12598.0,6469.0,15.5,6129.0,12564.0,6427.0,6137.0,4.6,4.6,81.0,223438.0,7.0,20400.0,12.0,32100.0,19.0,78.0,215800.0,22.0,60100.0,19800.0,46900.0,52538.0,141700.0,44.0,62900.0,2.0,5.0,6600.0,15.0,21400.0,20.0,28700.0,23.0,275600.0,58.0,138300.0,64.0,71700.0,54.0,66600.0,8100.0,6.0,4300.0,6.0,3900.0,6.0,20000.0,10300.0,9700.0,134300.0,69600.0,64700.0,126800.0,65600.0,61200.0,19100.0,9800.0,9400.0,600.0,15600.0,167500.0,15949.0,6300.0,33600.0,6400.0,13800.0,3300.0,24100.0,52400.0,11400.0,25700.0,32800.0,57.0,14.0,5.4,17.8,1.3,590.4,25.0,0.0,10.0,4192.0,31.9,19.6,15203000.0,2.48,100.0,100.0,99.7,141.26,4.705783132530121,16.130843373493974,10.985180722891567,7.569036144578313,1.3790361445783135,8.032530120481926,30.269277108433734,20.92734939759036,138994.0,30053.0,108941.0,22.0,31600.0,76.0,107700.0,2432.0,7492.692307692308,121.0,650000.0,161000.0,5.0,14.0,10.0,2771.0,112.0,477.0,294.0,183.0,2662.0,1249.0,1413.0,10.0,18.0,465.0,6300.0,26.0,7275.0,3776.0,3499.0,9.0,9.75,7.0,24600.0,50.0,77000.0,34.0,52000.0,408.96,112864.0,0.33,9.0,68701.0,40751.0,140.0,68.5,10.8
19,Göttingen,9.93664,51.543046,15.0,1852.0,444518.0,26608.0,2.0,5.0,5.0,428985.0,3012.0,25.0,4.0,121060.0,58736.0,106.1,62324.0,10.7,12980.0,6399.0,6581.0,9.5,11508.0,5266.0,6242.0,3.6,4309.0,2180.0,2129.0,4.5,5455.0,2677.0,2778.0,10.3,12498.0,5797.0,6701.0,7.9,9601.0,3550.0,170.5,6051.0,49.9,20826.0,23.7,10640.0,26.1,10186.0,-0.3,15305.0,7743.0,7562.0,15.8,19171.0,9685.0,9486.0,17.2,40.3,4737.0,2454.0,12.6,2283.0,4670.0,2345.0,2325.0,3.9,3.9,90.0,109167.0,3.0,3200.0,7.0,8700.0,10.0,84.0,102100.0,16.0,19000.0,5800.0,14200.0,11893.0,74200.0,65.0,48400.0,2.0,3.0,2300.0,14.0,10700.0,13.0,10000.0,23.0,119600.0,54.0,57600.0,58.0,30000.0,50.0,27600.0,4200.0,8.0,2500.0,6.0,1700.0,7.0,8000.0,4200.0,3800.0,56300.0,29300.0,27000.0,52400.0,27000.0,25400.0,7500.0,3900.0,3600.0,200.0,9800.0,85100.0,14231.81111111111,2000.0,16600.0,2000.0,2300.0,600.0,12800.0,34700.0,4000.0,16500.0,22900.0,55.0,27.0,4.8,18.2,1.6,448.8,22.0,0.0,8.0,3891.0,16.3,15.3,17571832.222222224,1.86,100.0,100.0,99.14888888888889,129.90352272727273,6.2,6.97,7.71,3.76,0.59,5.6,37.08,32.09,69355.0,14507.0,54848.0,24.0,17600.0,76.0,56100.0,3191.0,7492.692307692308,334.8,225000.0,102941.5625,0.0,0.0,8.0,989.0,80.0,300.0,180.0,120.0,2080.0,900.0,1200.0,17.0,5.0,557.0,2400.0,83.6236559139785,20684.2688172043,14714.0,13656.0,9.0,9.75,7.0,5900.0,54.0,37100.0,35.0,23900.0,346.11,41900.0,0.17,2.0,35544.0,9044.0,91.0,41.0,10.0
20,Mülheim a.d.Ruhr,6.894836,51.437117,31.0,5151.0,1809484.5,110354.0,1.0,15.0,6.0,158638.0,1465.0,9.0,1.0,167344.0,80252.0,108.5,87092.0,13.1,21874.0,10504.0,11370.0,12.8,21379.0,9731.0,11648.0,3.9,6480.0,3293.0,3187.0,4.9,8270.0,4176.0,4094.0,5.3,8938.0,4612.0,4326.0,11.2,18820.0,7226.0,160.4,11594.0,70.9,17161.0,29.8,8512.0,41.0,8649.0,-0.1,22921.0,11338.0,11583.0,16.2,27043.0,13441.0,13602.0,10.3,46.4,6867.0,3512.0,13.7,3355.0,7591.0,3907.0,3684.0,4.1,4.5,90.0,150029.0,3.0,4200.0,8.0,13200.0,11.0,82.0,137400.0,18.0,29900.0,6500.0,22500.0,17827.0,83500.0,41.0,34200.0,2.0,6.0,4600.0,15.0,12600.0,21.0,17600.0,26.0,167000.0,54.0,78600.0,61.0,42400.0,47.0,36200.0,5300.0,7.0,3000.0,6.0,2200.0,7.0,13600.0,7700.0,6000.0,76700.0,41300.0,35300.0,71600.0,38400.0,33200.0,12600.0,7100.0,5500.0,300.0,15300.0,75500.0,7607.0,4900.0,21900.0,1700.0,1800.0,1200.0,10600.0,13900.0,3900.0,21800.0,28300.0,60.0,18.0,4.9,18.2,3.2,672.1,12.0,0.0,32.0,2451.0,31.2,25.3,10740300.0,1.62,100.0,100.0,99.3,93.67,5.19,23.22,11.25,8.27,0.27,9.71,24.26,17.83,89155.0,24647.0,64508.0,31.0,26100.0,69.0,57500.0,5700.0,4926.0,334.8,350000.0,91000.0,2.0,3.0,8.0,1312.0,73.0,309.0,200.0,109.0,2036.0,1002.0,1034.0,12.0,1.0,401.0,2600.0,4.0,644.0,517.0,127.0,9.0,9.75,7.0,16800.0,61.0,53900.0,27.0,24100.0,459.49,76893.0,0.18,3.0,32481.0,30346.0,130.0,61.1,10.5
21,Moers,6.63761,51.455116,3.0,344.0,1809484.5,605429.58,1.0,5.0,2.0,101985.0,782.0,7.0,1.0,105506.0,50866.0,107.4,54640.0,13.7,14434.0,7015.0,7419.0,11.7,12348.0,5782.0,6566.0,4.1,4356.0,2237.0,2120.0,5.3,5571.0,2889.0,2682.0,5.7,6006.0,3094.0,2912.0,10.4,10992.0,4360.0,152.1,6632.0,66.4,10778.0,29.6,5291.0,36.8,5487.0,-0.4,14182.0,6883.0,7299.0,17.1,17999.0,8817.0,9181.0,10.2,46.1,3959.0,2049.0,13.4,1910.0,4881.0,2449.0,2432.0,3.8,4.6,91.0,95500.0,2.0,2600.0,7.0,7400.0,9.0,82.0,86500.0,18.0,19000.0,6900.0,9800.0,10006.0,50500.0,34.0,17100.0,2.0,4.0,2100.0,13.0,6800.0,21.0,10400.0,20.0,104900.0,54.0,49500.0,62.0,27300.0,46.0,22200.0,3300.0,7.0,2000.0,6.0,1300.0,7.0,8400.0,4900.0,3500.0,48300.0,26600.0,21700.0,45100.0,24700.0,20400.0,7900.0,4600.0,3400.0,100.0,5100.0,42400.0,14231.81111111111,2500.0,11900.0,1000.0,900.0,500.0,4900.0,13100.0,2400.0,23500.0,27700.0,60.0,15.0,4.9,18.2,3.2,672.1,14.902833333333335,0.016666666666666666,19.58360655737705,3395.7833333333333,24.192333333333337,22.13606557377049,17571832.222222224,1.51,100.0,100.0,99.14888888888889,129.90352272727273,9.24,17.81,9.39,8.14,1.41,7.46,40.29,6.27,51018.0,22538.0,28480.0,40.0,20300.0,61.0,30600.0,5286.0,7492.692307692308,27.0,310000.0,80500.0,3.0,2.0,7.0,763.0,48.0,185.0,119.0,66.0,1153.0,606.0,547.0,11.0,1.0,344.0,1500.0,83.6236559139785,20684.2688172043,10840.425531914894,9925.606382978724,9.0,9.75,7.0,10300.0,63.0,36400.0,20.0,11200.0,492.86,52000.0,0.38,4.0,19063.0,22436.0,96.0,61.1,10.1
22,Darmstadt,8.651994,49.872151,25.0,3598.0,1809484.5,77873.0,2.0,11.0,8.0,584943.0,4213.0,29.0,4.0,144402.0,72180.0,100.1,72222.0,11.0,15942.0,7758.0,8184.0,9.6,13802.0,6403.0,7399.0,4.9,7077.0,3661.0,3416.0,4.2,6062.0,3035.0,3027.0,7.2,10388.0,5591.0,4797.0,8.6,12466.0,4617.0,170.0,7849.0,56.0,22781.0,27.6,12027.0,28.4,10754.0,0.7,20469.0,10567.0,9902.0,15.9,23012.0,12211.0,10801.0,15.8,41.5,6287.0,3162.0,14.2,3125.0,6116.0,3148.0,2968.0,4.4,4.2,85.0,122724.0,3.849462365591398,11690.322580645161,7.822916666666667,23879.166666666668,15.0,76.0,109900.0,24.0,34500.0,11900.0,22600.0,21678.0,75900.0,45.0,34500.0,2.0,5.0,3500.0,12.0,9100.0,18.0,13900.0,25.0,144100.0,60.0,74800.0,65.0,40700.0,55.0,34200.0,3700.0,5.0,2100.0,5.0,1600.0,5.0,9800.0,5000.0,4700.0,73100.0,39800.0,33300.0,69700.0,37800.0,31900.0,9300.0,4700.0,4500.0,300.0,19400.0,120100.0,8343.0,2600.0,20600.0,9100.0,2400.0,1400.0,21200.0,36000.0,7200.0,24900.0,31000.0,54.0,15.0,5.4,18.5,2.3,591.8,20.0,0.0,3.0,4025.0,25.8,15.9,8937300.0,1.86,100.0,100.0,99.7,66.8,5.81,7.25,8.48,6.1,0.24,4.79,17.68,49.64,75254.0,18620.0,56634.0,28.0,21300.0,74.0,56000.0,5471.0,7492.692307692308,150.0,400000.0,133000.0,3.0,5.0,10.0,1509.0,43.0,199.0,121.0,78.0,1424.0,619.0,805.0,10.0,6.0,452.0,3200.0,247.0,35626.0,24676.0,10950.0,9.0,9.75,7.0,10400.0,49.0,40600.0,41.0,34000.0,383.8,55421.0,0.21,3.0,61708.0,22946.0,180.0,38.1,12.5
