indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TE1001I,BG014C1	496 d	478 d	452 d	492 d	450 d	445 	464 	465 	446 	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG015C1	423 d	402 d	394 d	409 d	396 d	403 	427 	429 	397 	352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG016C1	526 d	527 d	527 d	516 d	527 d	559 	579 	570 	551 	522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG017C1	481 d	474 d	462 d	474 d	498 d	518 	504 	566 	544 	464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG018C1	612 d	651 d	632 d	655 d	641 d	622 	620 	621 	652 	568 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH001C1	: 	940 d	: 	884 d	: 	: 	762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH002C1	: 	574 d	: 	555 d	: 	: 	525 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH003C1	: 	690 d	: 	712 d	: 	: 	535 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH004C1	: 	479 d	: 	319 d	: 	: 	391 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH005C1	: 	679 d	: 	666 d	: 	: 	719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH006C1	: 	196 d	: 	202 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH007C1	: 	399 d	: 	335 d	: 	: 	363 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH008C1	: 	498 d	: 	467 d	: 	: 	458 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH009C2	: 	: 	: 	358 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CH010C1	: 	: 	: 	: 	: 	: 	248 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	396 	: 	31 	393 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CY001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	486 	: 	: 	493 	: 	: 	: 	: 	: 	: 	: 	: 	332 	: 	: 
TE1001I,CZ	: 	: 	: 	: 	: 	: 	: 	: 	357 	: 	360 	360 	365 	: 	: 	391 	: 	615 	629 	638 	642 	613 	596 	585 	: 	: 	: 	: 	: 	: 
TE1001I,CZ001C1	: 	: 	: 	: 	: 	: 	: 	: 	315 	: 	333 	330 	339 	: 	: 	373 	: 	: 	390 	: 	: 	: 	: 	342 p	: 	: 	: 	: 	: 	: 
TE1001I,CZ002C1	: 	: 	: 	: 	: 	: 	: 	: 	325 	: 	323 	323 	332 	: 	: 	384 	: 	: 	394 	: 	: 	: 	: 	377 p	: 	: 	: 	: 	: 	: 
TE1001I,CZ003C1	: 	: 	: 	: 	: 	: 	: 	: 	360 	: 	348 	346 	345 	: 	: 	361 	: 	: 	345 	: 	: 	: 	: 	347 p	: 	: 	: 	: 	: 	: 
TE1001I,CZ004C1	: 	: 	: 	: 	: 	: 	: 	: 	353 	: 	369 	363 	358 	: 	: 	376 	: 	: 	359 	: 	: 	: 	: 	329 p	: 	: 	: 	: 	: 	: 
TE1001I,CZ005C1	: 	: 	: 	: 	: 	: 	: 	: 	307 	: 	330 	325 	327 	: 	: 	346 	: 	: 	379 	: 	: 	: 	: 	372 p	: 	: 	: 	: 	: 	: 
TE1001I,CZ006C1	: 	: 	: 	: 	: 	: 	: 	: 	368 	: 	422 	426 	426 	: 	: 	449 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ007C1	: 	: 	: 	: 	: 	: 	: 	: 	332 	: 	337 	346 	348 	: 	: 	380 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ008C1	: 	: 	: 	: 	: 	: 	: 	: 	350 	: 	405 	409 	418 	: 	: 	409 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ009C1	: 	: 	: 	: 	: 	: 	: 	: 	348 	: 	374 	377 	398 	: 	: 	396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ010C1	: 	: 	: 	: 	: 	: 	: 	: 	390 	: 	412 	405 	413 	: 	: 	433 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ011C1	: 	: 	: 	: 	: 	: 	: 	: 	349 	: 	387 	397 	400 	: 	: 	442 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ012C1	: 	: 	: 	: 	: 	: 	: 	: 	334 	: 	295 	278 	289 	: 	: 	304 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,CZ013C1	: 	: 	: 	: 	: 	: 	: 	: 	354 	: 	375 	373 	389 	: 	: 	417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
